"logger","Date","SpeedMin","SpeedMean","SpeedMax","SpeedSD","Hi_Lo.x","TempMin","TempMean","TempMedian","TempMax","TempSD","Hi_Lo.y","SalinityMin","SalinityMean","SalinityMedian","SalinityMax","SalinitySD","Hi_Lo"
"Anniversary",2019-12-16,0.9,3.37078472222222,24.99,2.66465940378801,"Low",8.5802,9.04124715277778,9.0444,9.3914,0.14590764537434,"Low",25.18,25.89125,25.92,26.34,0.273765119081179,"Low"
"Anniversary",2019-12-17,1.02,3.59284722222222,23.45,2.52643022971567,"Low",9.2087,9.34706131944444,9.34035,9.5508,0.0773736924309434,"Low",25.91,26.235625,26.235,26.49,0.138639379901868,"Low"
"Anniversary",2019-12-18,1.02,4.0400625,20.47,3.14806503707841,"Low",9.2188,9.41829131944444,9.3871,9.5981,0.0936404309780488,"Low",25.98,26.2514583333333,26.25,26.51,0.14933882058371,"Low"
"Anniversary",2019-12-19,1.13,4.19985416666667,21.32,3.06567064960993,"Low",9.2994,9.43184694444444,9.4187,9.5264,0.0546401660506516,"Low",26.31,26.4775,26.49,26.62,0.0787265669289953,"Low"
"Anniversary",2019-12-20,1.24,4.76245833333333,26.67,3.09823075983846,"Low",9.2994,9.4093,9.4115,9.545,0.0510802762449927,"Low",26.21,26.5670833333333,26.57,26.67,0.0768795225850669,"Low"
"Anniversary",2019-12-21,0.9,4.11582638888889,18.21,2.79155462384801,"Low",9.2706,9.35608131944444,9.3497,9.4661,0.0413391841931109,"Low",26.33,26.4577083333333,26.45,26.62,0.0742405401476744,"Low"
"Anniversary",2019-12-22,1.13,3.72651388888889,18.28,2.55622526982772,"Low",9.3166,9.35697083333333,9.3569,9.3971,0.0187009521558606,"Low",26.36,26.4179166666667,26.41,26.46,0.0278260809339345,"Low"
"Anniversary",2019-12-23,0.79,4.33179166666667,50.82,3.95405622765965,"Low",8.1543,9.20564048611111,9.2483,9.4129,0.201636934004493,"Low",23.64,25.8710416666667,25.96,26.36,0.50231904578551,"Low"
"Anniversary",2019-12-24,0.68,3.66979166666667,24.67,2.7838798021742,"Low",8.3377,9.22460611111111,9.2447,9.5063,0.185662349729753,"Low",21.92,25.1289583333333,25.355,26.31,1.03171462239165,"Low"
"Anniversary",2019-12-25,0.68,4.38385416666667,51.78,5.1869008790644,"Low",8.8466,9.23606173611111,9.2497,9.5092,0.170684731504926,"Low",25.37,25.875,25.94,26.23,0.229828798447333,"Low"
"Anniversary",2019-12-26,1.02,3.70572222222222,17.95,2.5694250321333,"Low",8.1092,9.07434555555556,9.1064,9.3885,0.222613961307406,"Low",24.44,25.6939583333333,25.74,26.26,0.403520357699601,"Low"
"Anniversary",2019-12-27,1.13,3.07499305555556,12.88,2.00694745371002,"Low",9.0949,9.26365243055556,9.2648,9.4172,0.0852749057829105,"Low",25.77,26.0177083333333,26.02,26.21,0.111855521997881,"Low"
"Anniversary",2019-12-28,1.02,3.78268055555556,25.83,2.86899868887362,"Low",8.0406,9.13730131944445,9.1914,9.4259,0.273953434445093,"Low",24.58,25.8054166666667,25.925,26.18,0.352968917523326,"Low"
"Anniversary",2019-12-29,1.02,3.45035416666667,23.58,2.42509091830381,"Low",9.0848,9.27908111111111,9.2677,9.4431,0.0751957941240185,"Low",25.79,25.9879166666667,25.96,26.21,0.103388511920634,"Low"
"Anniversary",2019-12-30,0.9,3.07584027777778,12.41,1.88198178618892,"Low",9.0675,9.30514666666667,9.2965,9.5092,0.10629952059079,"Low",25.77,26.0133333333333,26.01,26.26,0.114730643541191,"Low"
"Anniversary",2019-12-31,0.9,4.79081944444444,54.27,5.67041015959859,"Low",9.1223,9.41269979166667,9.4158,9.5665,0.0874878681153249,"Low",25.97,26.2035416666667,26.195,26.38,0.0978163625378794,"Low"
"Anniversary",2020-01-01,1.36,2.62630555555556,8.86,1.11993067440176,"Low",9.4316,9.53073854166667,9.5321,9.5967,0.0360061386834129,"Low",26.13,26.33125,26.36,26.46,0.0773944030083654,"Low"
"Anniversary",2020-01-02,0.9,3.70271527777778,11.61,2.08864900812154,"Low",8.3813,8.93167465277778,8.9275,9.5005,0.243219752505658,"Low",24.93,25.580625,25.63,26.18,0.319809825471459,"Low"
"Anniversary",2020-01-03,1.24,4.61080555555556,28.69,3.5482818582556,"Low",9.105,9.38885625,9.4144,9.5737,0.113486078850873,"Low",25.91,26.11875,26.13,26.33,0.106263922742367,"Low"
"Anniversary",2020-01-04,1.13,3.64369444444444,20.73,2.60983273895741,"Low",9.0228,9.39495944444444,9.36765,9.6898,0.138376189449274,"Low",25.99,26.2085416666667,26.21,26.38,0.102313443789865,"Low"
"Anniversary",2020-01-05,1.13,4.38440972222222,20.86,2.91222556599415,"Low",8.9722,9.34799506944444,9.3727,9.5206,0.124157148439716,"Low",25.96,26.25375,26.26,26.41,0.102534374101276,"Low"
"Anniversary",2020-01-06,1.13,3.33609722222222,16.49,2.24649053249072,"Low",8.9607,9.32446930555555,9.3022,9.479,0.092420471167544,"Low",25.38,25.7329166666667,25.735,26.21,0.284671952547798,"Low"
"Anniversary",2020-01-07,1.13,3.2710625,16.13,2.27526391941041,"Low",9.1367,9.22686472222222,9.2346,9.3037,0.038825706899599,"Low",25.12,25.71625,25.76,26.06,0.188088084842114,"Low"
"Anniversary",2020-01-08,0.9,3.521875,22.29,2.77991027516052,"Low",8.2694,9.09238861111111,9.1856,9.3109,0.213994716887146,"Low",24.33,25.48375,25.52,26.19,0.379050465398934,"Low"
"Anniversary",2020-01-09,1.13,4.15597916666667,29.63,3.13866149542881,"Low",7.6369,8.572015,8.6324,8.991,0.267693150774367,"Low",23.38,24.733125,24.75,25.73,0.541747198050663,"Low"
"Anniversary",2020-01-10,1.02,3.91797222222222,15.64,2.70967095116328,"Low",7.6487,8.74230930555555,8.8437,9.0617,0.28455603098667,"Low",23.84,25.48375,25.72,25.99,0.555501019781893,"Low"
"Anniversary",2020-01-11,1.24,4.05190277777778,18.94,2.43021088352878,"Low",8.3523,8.84571395833333,8.89355,9.1064,0.167011575147068,"Low",24.93,25.5564583333333,25.625,25.97,0.243934849894204,"Low"
"Anniversary",2020-01-12,1.24,4.88572916666667,26.73,3.52992569659351,"Low",7.6838,8.50125423611111,8.599,8.9188,0.28244093905508,"Low",24.24,25.3945833333333,25.605,25.9,0.452218918616426,"Low"
"Anniversary",2020-01-13,1.13,4.46629861111111,27.38,3.30392513754807,"Low",7.3741,7.84040861111111,7.7571,8.5642,0.365527665436692,"Low",23.55,24.4266666666667,24.36,25.35,0.563342355880577,"Low"
"Anniversary",2020-01-14,1.36,5.09513194444444,40.75,3.84098435152943,"Low",7.474,7.97736930555556,7.9632,8.4554,0.164784237312876,"Low",24.16,24.8633333333333,24.85,25.32,0.21901455633479,"Low"
"Anniversary",2020-01-15,1.24,5.06366666666667,26.28,3.08276545252835,"Low",7.6457,7.88775708333333,7.7966,8.4336,0.187052137209316,"Low",24.56,24.9389583333333,24.895,25.21,0.149769178196279,"Low"
"Anniversary",2020-01-16,1.24,4.51623611111111,16.98,2.83276670399294,"Low",7.7234,8.37013048611111,8.4612,8.8784,0.303113721324782,"Low",24.83,25.7291666666667,25.785,26.03,0.262507007674108,"Low"
"Anniversary",2020-01-17,1.02,4.86900694444444,22.35,3.27200978077865,"Low",7.8244,8.15164138888889,8.166,8.4452,0.136893363928699,"Low",25.47,25.6241666666667,25.635,25.79,0.0856224601010674,"Low"
"Anniversary",2020-01-18,1.02,6.08099305555556,26.73,4.5637050222578,"Low",7.9296,8.18816645833333,8.0676,8.5642,0.233223580241743,"Low",25.49,25.7254166666667,25.74,25.95,0.15668043548972,"Low"
"Anniversary",2020-01-19,1.36,3.89313888888889,12.96,2.50383175598539,"Low",8.3028,8.44398951388889,8.4481,8.5845,0.0646404476440177,"Low",25.76,25.8672916666667,25.87,25.95,0.0435029753608675,"Low"
"Anniversary",2020-01-20,1.24,3.89831944444444,17.6,2.88125546108033,"Low",8.2228,8.50105409722222,8.5033,8.7656,0.0997964162422999,"Low",25.8,25.975625,25.98,26.08,0.0716939787969999,"Low"
"Anniversary",2020-01-21,1.13,3.2094375,14.92,2.05469526955028,"Low",8.3072,8.55060229166667,8.5207,8.7656,0.0978327515233556,"Low",25.88,26.14,26.16,26.3,0.0901771306574848,"Low"
"Anniversary",2020-01-22,1.24,3.99024305555556,17.18,2.91861322164265,"Low",8.1645,8.40390465277778,8.4031,8.5947,0.105008972642956,"Low",26.07,26.2014583333333,26.215,26.29,0.0499356855869173,"Low"
"Anniversary",2020-01-23,1.24,5.11321527777778,42.85,5.43323937184447,"Low",7.9296,8.27380694444444,8.2897,8.4641,0.121031305487303,"Low",26.05,26.2135416666667,26.21,26.4,0.0934786261457629,"Low"
"Anniversary",2020-01-24,0.9,4.03238194444444,37.53,3.42967973409741,"Low",8.2228,8.38446888888889,8.4089,8.4743,0.0638484059944718,"Low",25.4,25.9479166666667,26.04,26.3,0.267135779750102,"Low"
"Anniversary",2020-01-25,1.02,4.28729861111111,18.94,2.95276993802054,"Low",8.2926,8.363815,8.3639,8.4191,0.0269286850113773,"Low",25.2,25.6154166666667,25.67,25.91,0.173805446788452,"Low"
"Burial",2019-12-16,0.68,31.6612986111111,111.1,28.1400078342467,"High",8.9188,9.07375104166667,9.0963,9.2231,0.0945146767062249,"High",27.03,27.3620833333333,27.29,27.77,0.236804599701349,"High"
"Burial",2019-12-17,1.02,28.4565555555556,106.67,26.3631747990798,"High",8.9159,9.10196270833333,9.1309,9.2548,0.103774883407761,"High",27.07,27.37125,27.33,27.86,0.221134646572837,"High"
"Burial",2019-12-18,0.9,25.9874722222222,105.45,23.7534935947566,"High",8.9145,9.140235,9.1669,9.3641,0.124247945455711,"High",27.12,27.4183333333333,27.36,27.81,0.206823322004127,"High"
"Burial",2019-12-19,0.9,25.7989097222222,109.48,24.4764272492596,"High",8.9044,9.16755652777778,9.2116,9.4172,0.157572278083608,"High",27.11,27.374375,27.32,27.88,0.179395038357347,"High"
"Burial",2019-12-20,1.24,26.845,108.6,25.5680077551975,"High",8.8885,9.15762722222222,9.2116,9.4201,0.183343884758804,"High",27.15,27.4166666666667,27.36,27.83,0.185625261181372,"High"
"Burial",2019-12-21,1.02,28.6871875,112.9,26.8794623453658,"High",8.887,9.22406965277778,9.2749,9.5465,0.199890580568516,"High",27.21,27.4435416666667,27.37,27.86,0.186598779765381,"High"
"Burial",2019-12-22,0.9,30.2489236111111,110.1,27.7648727835927,"High",8.8986,9.24219868055556,9.2814,9.5967,0.197458892138158,"High",27.18,27.4354166666667,27.38,27.8,0.173069391240615,"High"
"Burial",2019-12-23,1.13,31.9698055555556,113.3,28.6963315671253,"High",8.8971,9.22683541666667,9.2605,9.5307,0.188217118453051,"High",27.22,27.4870833333333,27.425,27.83,0.182756183739526,"High"
"Burial",2019-12-24,1.02,35.0434930555556,110.8,29.9644323872559,"High",8.8986,9.19586722222222,9.2188,9.5321,0.159899262486644,"High",27.28,27.479375,27.41,27.9,0.184568574006081,"High"
"Burial",2019-12-25,1.02,35.4110694444444,111.3,29.5531526376144,"High",8.9116,9.15236666666667,9.1943,9.4402,0.132020423957447,"High",27.32,27.5158333333333,27.475,27.81,0.127042183199348,"High"
"Burial",2019-12-26,0.9,34.1682708333333,110.7,28.4296631660943,"High",8.9376,9.16170743055556,9.195,9.4201,0.134370597674689,"High",27.34,27.5722916666667,27.51,27.86,0.164914414725933,"High"
"Burial",2019-12-27,1.02,32.6817638888889,106.15,27.0954047210541,"High",8.8191,9.11623006944444,9.1669,9.3209,0.119882945248672,"High",27.25,27.4952083333333,27.49,27.86,0.125900832020865,"High"
"Burial",2019-12-28,1.02,33.8171388888889,110,27.1104636478681,"High",8.9029,9.11289555555556,9.1439,9.3051,0.108832520572162,"High",27.26,27.5441666666667,27.49,27.86,0.172723285440422,"High"
"Burial",2019-12-29,1.13,33.7073819444444,111.6,28.3626870010466,"High",8.9203,9.10499770833333,9.1381,9.2404,0.090038000480538,"High",27.29,27.519375,27.485,27.79,0.151438580345371,"High"
"Burial",2019-12-30,1.02,29.0074861111111,108.08,25.0374483568551,"High",8.9289,9.09413916666667,9.1165,9.249,0.0902725630715249,"High",27.27,27.5354166666667,27.51,27.82,0.153067337891132,"High"
"Burial",2019-12-31,0.9,24.1029513888889,107.55,20.8680518567274,"High",8.9434,9.08097388888889,9.1006,9.2605,0.0794361659459728,"High",27.16,27.4929166666667,27.47,27.76,0.113642933401319,"High"
"Burial",2020-01-01,0.79,21.5106944444444,99.8,19.8893995587048,"High",8.9015,9.069413125,9.0949,9.2404,0.0883197077254869,"High",27.37,27.5804166666667,27.545,27.88,0.129827353989718,"High"
"Burial",2020-01-02,0.9,22.1382083333333,108.42,25.0647574245506,"High",8.8971,9.10146631944444,9.1251,9.2835,0.125382925678767,"High",26.8,27.490625,27.46,27.85,0.211694342581116,"High"
"Burial",2020-01-03,0.9,21.929375,111.4,26.3762600875098,"High",8.9015,9.07132791666667,9.0804,9.2317,0.0904385423140653,"High",26.85,27.3302083333333,27.39,27.56,0.180619378608935,"High"
"Burial",2020-01-04,1.02,21.7966597222222,104.22,21.5282338854683,"High",8.8639,9.02133826388889,9.0285,9.1468,0.0762888259375671,"High",27.13,27.481875,27.46,27.85,0.132931853442185,"High"
"Burial",2020-01-05,0.9,22.3727847222222,110,23.4464626499283,"High",8.8581,9.03132652777778,9.0415,9.1957,0.0913358749216266,"High",26.61,27.446875,27.435,27.77,0.172394355562435,"High"
"Burial",2020-01-06,1.02,25.9462083333333,109.13,25.6917011596424,"High",8.887,9.06818194444444,9.0819,9.2548,0.102172529318955,"High",27.31,27.5239583333333,27.49,27.79,0.140102387838374,"High"
"Burial",2020-01-07,0.79,27.5483125,111.4,26.6211610797455,"High",8.8914,9.05356034722222,9.0689,9.2116,0.0917793310346115,"High",27.34,27.5345833333333,27.49,27.82,0.134527673864752,"High"
"Burial",2020-01-08,1.02,32.677125,110.6,28.8047751655896,"High",8.9333,9.04797638888889,9.0588,9.1727,0.0661905907185302,"High",27.21,27.4639583333333,27.455,27.77,0.110909961245806,"High"
"Burial",2020-01-09,1.13,33.3209652777778,111.8,28.2111033858089,"High",8.8538,8.98777416666667,9.004,9.1035,0.0575675029880398,"High",27.14,27.525,27.515,27.87,0.170156373637198,"High"
"Burial",2020-01-10,1.13,36.2670069444444,111.2,31.2216505149161,"High",8.5628,8.936600625,8.9578,9.0343,0.0740928695716418,"High",26.37,27.3272916666667,27.375,27.63,0.255998168073011,"High"
"Burial",2020-01-11,1.02,33.2880763888889,107.38,28.334487856057,"High",8.767,8.90104298611111,8.9116,8.9852,0.0467399663446428,"High",27.18,27.4225,27.4,27.81,0.101446978080681,"High"
"Burial",2020-01-12,0.9,36.4979166666667,111.8,30.8171806020136,"High",8.7395,8.83913763888889,8.8495,8.9188,0.0420626709032002,"High",27.2,27.4297916666667,27.43,27.72,0.129754097763905,"High"
"Burial",2020-01-13,1.02,39.77375,116.4,32.2566726180455,"High",8.454,8.71510986111111,8.733,8.8307,0.0888625004648298,"High",27.05,27.4225,27.365,27.78,0.220902404560081,"High"
"Burial",2020-01-14,1.24,33.2754166666667,109.13,26.1844074061105,"High",8.499,8.68456902777778,8.6831,8.7974,0.0550167009745994,"High",27.1,27.4027083333333,27.41,27.57,0.0907824048781533,"High"
"Burial",2020-01-15,0.9,30.0618125,103.35,25.0552348206431,"High",8.4322,8.60954416666667,8.6034,8.7887,0.0726150652925116,"High",27.26,27.448125,27.455,27.66,0.0981890545098174,"High"
"Burial",2020-01-16,0.79,27.3600833333333,103.18,24.106026962583,"High",8.2446,8.53076666666667,8.5309,8.7526,0.0982718396509439,"High",27.07,27.3220833333333,27.34,27.51,0.114779313380687,"High"
"Burial",2020-01-17,1.02,24.7302916666667,101.8,21.3495406137462,"High",8.4569,8.55085805555555,8.541,8.67,0.0484013595866591,"High",27.29,27.466875,27.455,27.64,0.0976785054427633,"High"
"Burial",2020-01-18,1.02,27.4619861111111,108.95,27.6523485955354,"High",7.972,8.34106784722222,8.3319,8.5251,0.0979865061455211,"High",26.7,27.2239583333333,27.23,27.62,0.170465440227797,"High"
"Burial",2020-01-19,0.9,29.0034375,102.6,23.0028021117562,"High",8.1368,8.359029375,8.345,8.5918,0.0765058607693698,"High",26.81,27.2952083333333,27.275,27.6,0.16314710218191,"High"
"Burial",2020-01-20,1.02,29.1018819444444,110.5,25.6183366210606,"High",8.2301,8.30235173611111,8.3014,8.4191,0.0377663288015454,"High",27.15,27.3502083333333,27.32,27.6,0.131787862795258,"High"
"Burial",2020-01-21,1.02,30.9475625,107.2,26.6400561072693,"High",8.1602,8.25304590277778,8.2446,8.4133,0.0488465341921979,"High",27.03,27.2804166666667,27.24,27.58,0.13330429648362,"High"
"Burial",2020-01-22,0.79,29.9878263888889,105.1,26.0337595987221,"High",8.1587,8.26051590277778,8.2432,8.4612,0.0655808996807532,"High",26.93,27.245,27.24,27.46,0.118357554208837,"High"
"Burial",2020-01-23,1.13,33.1034791666667,111.4,28.8044626236834,"High",8.166,8.29806354166667,8.2999,8.4511,0.0639035707046948,"High",26.9,27.2247916666667,27.24,27.48,0.126272073416186,"High"
"Burial",2020-01-24,1.13,33.6775069444444,111.2,29.3825012589003,"High",8.2039,8.32439381944445,8.3406,8.4627,0.0680298303279498,"High",27.08,27.2614583333333,27.26,27.49,0.108333401527529,"High"
"Burial",2020-01-25,1.02,33.2269236111111,111,28.6661186894369,"High",8.2141,8.31286493055556,8.3261,8.3857,0.0525080895782326,"High",27.07,27.2885416666667,27.29,27.52,0.100084848755217,"High"
"Coffin",2019-12-16,1.13,2.89503472222222,9.04,1.6342873687932,"Low",8.9867,9.76423534722222,9.8044,10.2214,0.301279831450192,"Low",27.56,27.8804166666667,27.92,28.04,0.123975947106658,"Low"
"Coffin",2019-12-17,1.24,4.29893055555556,13.11,2.80295277060264,"Low",9.1093,9.56198833333333,9.474,10.1173,0.288773717332618,"Low",27.54,27.74,27.73,27.96,0.102001251556777,"Low"
"Coffin",2019-12-18,1.02,4.83445138888889,16.06,3.13888030019997,"Low",9.1842,9.64941395833333,9.6655,10.0188,0.199322347153201,"Low",27.55,27.8425,27.88,28.03,0.123400403461529,"Low"
"Coffin",2019-12-19,1.13,4.52644444444444,15.28,2.95603101901446,"Low",9.0314,9.51314256944444,9.4826,10.1031,0.275540554281674,"Low",27.33,27.7164583333333,27.745,28.09,0.195431759688735,"Low"
"Coffin",2019-12-20,1.24,4.01398611111111,15.92,2.59813614164247,"Low",9.1352,9.47358215277778,9.4819,9.853,0.19587619395276,"Low",27.48,27.7445833333333,27.76,28.04,0.167483988861093,"Low"
"Coffin",2019-12-21,1.24,3.71902083333333,13.42,2.82624190532558,"Low",8.9823,9.44186715277778,9.4072,9.9102,0.245206009877985,"Low",27.48,27.7860416666667,27.76,28.03,0.108171250818071,"Low"
"Coffin",2019-12-22,1.13,4.14992361111111,12.18,2.76938598669308,"Low",9.0545,9.45262208333333,9.4101,10.0831,0.257484757259169,"Low",27.56,27.8220833333333,27.79,28.18,0.139115111272633,"Low"
"Coffin",2019-12-23,1.24,4.23481944444444,14.32,2.64085156326341,"Low",8.9318,9.36254638888889,9.2562,10.0345,0.312272992974456,"Low",27.56,27.796875,27.79,28.2,0.156343270034582,"Low"
"Coffin",2019-12-24,1.24,4.35286805555556,13.73,3.10269848868626,"Low",8.9419,9.40266847222222,9.3971,9.9831,0.271598688320317,"Low",27.59,27.8702083333333,27.885,28.2,0.165252734658331,"Low"
"Coffin",2019-12-25,1.13,4.58964583333333,17.32,3.07447451618042,"Low",8.5483,9.13944173611111,9.09125,9.8959,0.279147964358193,"Low",27.42,27.69125,27.675,28.13,0.15055394170098,"Low"
"Coffin",2019-12-26,1.13,4.77649305555556,13.11,2.58180641895192,"Low",8.4786,8.99933986111111,8.939,9.8802,0.318949443420015,"Low",27.41,27.6920833333333,27.705,28.13,0.149210095108439,"Low"
"Coffin",2019-12-27,1.24,3.24704166666667,11.36,1.94618848420517,"Low",8.5961,9.19729680555556,9.1453,9.8774,0.378059688274296,"Low",27.11,27.6660416666667,27.64,28.24,0.302160585622192,"Low"
"Coffin",2019-12-28,1.24,6.52034027777778,16.91,3.85009277915553,"Low",8.6005,9.06205458333333,8.9896,9.843,0.305353309246047,"Low",27.08,27.7133333333333,27.71,28.18,0.233878795063045,"Low"
"Coffin",2019-12-29,1.13,5.59244444444444,30.52,4.08941393365204,"Low",8.874,9.20843493055555,9.1122,9.7929,0.2780536849202,"Low",27.67,27.8241666666667,27.79,28.11,0.132228579222196,"Low"
"Coffin",2019-12-30,1.24,3.98738888888889,12.18,2.51154266293785,"Low",9.0502,9.29930722222222,9.2648,9.6683,0.158299198120851,"Low",26.86,27.8158333333333,27.9,28.07,0.222976320976717,"Low"
"Coffin",2019-12-31,1.24,4.10636111111111,11.94,2.55417731835678,"Low",8.8393,9.25011083333333,9.2821,9.5795,0.215897769818284,"Low",26.71,27.65375,27.825,28.06,0.40018944981681,"Low"
"Coffin",2020-01-01,1.24,3.44625,12.57,2.10589479248084,"Low",8.861,9.10502763888889,9.1165,9.3713,0.1444616822456,"Low",27.52,27.8647916666667,27.89,28,0.10469793599407,"Low"
"Coffin",2020-01-02,1.13,3.85922222222222,13.8,2.54359629087602,"Low",8.7077,8.91275791666667,8.8971,9.1655,0.110662523277757,"Low",27.02,27.7002083333333,27.79,28.01,0.267347010005471,"Low"
"Coffin",2020-01-03,1.13,3.00129861111111,11.11,1.79406845861257,"Low",8.78,9.05825409722222,9.0559,9.4172,0.176639136062874,"Low",27.73,27.900625,27.875,28.14,0.0920084697766366,"Low"
"Coffin",2020-01-04,1.24,4.78927083333333,18.35,3.90118918937496,"Low",8.7873,8.98722145833333,8.9217,9.4129,0.162412932588359,"Low",27.08,27.7639583333333,27.855,28.07,0.28316403473495,"Low"
"Coffin",2020-01-05,1.24,5.2794375,14.4,3.49030081122911,"Low",8.7743,8.94169993055556,8.9289,9.177,0.0900337429988498,"Low",27.2,27.8058333333333,27.86,27.98,0.178275824226243,"Low"
"Coffin",2020-01-06,1.24,3.53888194444444,10.1,2.06139155990792,"Low",8.7858,8.87717104166667,8.861,9.0732,0.0613377855402434,"Low",27.85,27.9897916666667,28,28.1,0.0633964084939287,"Low"
"Coffin",2020-01-07,1.24,3.676125,12.57,2.50137812988058,"Low",8.6802,8.82137555555556,8.8017,9.2648,0.0964778120280962,"Low",26.93,27.7941666666667,27.88,28.18,0.228825245346315,"Low"
"Coffin",2020-01-08,1.24,3.27529861111111,20.07,2.59362819376704,"Low",8.5396,8.82218888888889,8.7757,9.2706,0.136587814379562,"Low",27.65,27.8308333333333,27.84,28.16,0.0989913672000838,"Low"
"Coffin",2020-01-09,1.24,2.84899305555556,9.3,1.440811542594,"Low",8.2359,8.63082979166667,8.6367,8.9852,0.168901104107359,"Low",26.61,27.571875,27.67,28.04,0.364316067184129,"Low"
"Coffin",2020-01-10,1.13,3.78075,12.18,2.71724457146455,"Low",8.1893,8.55522895833333,8.6077,8.9925,0.185152200529648,"Low",27.07,27.634375,27.66,28.03,0.220944840040281,"Low"
"Coffin",2020-01-11,1.36,4.70338888888889,14.77,2.8869606523738,"Low",7.8068,8.19007159722222,8.1864,8.438,0.0935076649849021,"Low",27.06,27.445,27.46,27.64,0.133894210384423,"Low"
"Coffin",2020-01-12,1.24,4.94653472222222,13.19,3.31137788454844,"Low",7.801,8.10371069444444,8.09385,8.3828,0.142448265032521,"Low",26.89,27.330625,27.4,27.61,0.184994608892121,"Low"
"Coffin",2020-01-13,1.36,4.66544444444444,12.64,2.40479947998882,"Low",7.6692,7.91492555555556,7.9077,8.2883,0.117631775971655,"Low",27.26,27.3247916666667,27.31,27.46,0.0420227690730558,"Low"
"Coffin",2020-01-14,1.24,4.23036805555556,19.21,2.72264736791496,"Low",7.2416,7.84233027777778,7.6472,8.8899,0.406674791898212,"Low",26.33,27.3710416666667,27.43,28.1,0.321606602447134,"Low"
"Coffin",2020-01-15,1.24,4.2921875,11.52,2.57516548641072,"Low",6.7775,7.28597944444444,7.22755,8.1733,0.338871872949456,"Low",27.19,27.3314583333333,27.325,27.55,0.0823068876757299,"Low"
